datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-19 00:00:00-04:00,2026-03-19 04:00:00+00:00,Michigan Wolverines,0.988,0.988,0.988,0.988,-8233,-8233,-8233,-8233,1.0121,1.0121,1.0121,1.0121,25.24477,1
2026-03-19 00:05:00-04:00,2026-03-19 04:05:00+00:00,Howard Bison,0.013,0.013,0.013,0.013,7592,7592,7592,7592,76.9231,76.9231,76.9231,76.9231,56.98721,1
2026-03-19 00:05:00-04:00,2026-03-19 04:05:00+00:00,Michigan Wolverines,0.988,0.988,0.988,0.988,-8233,-8233,-8233,-8233,1.0121,1.0121,1.0121,1.0121,35.2427,2
2026-03-19 00:10:00-04:00,2026-03-19 04:10:00+00:00,Howard Bison,0.013,0.013,0.013,0.013,7592,7592,7592,7592,76.9231,76.9231,76.9231,76.9231,0.0,0
2026-03-19 00:10:00-04:00,2026-03-19 04:10:00+00:00,Michigan Wolverines,0.988,0.988,0.988,0.988,-8233,-8233,-8233,-8233,1.0121,1.0121,1.0121,1.0121,25.24477,1
2026-03-19 00:15:00-04:00,2026-03-19 04:15:00+00:00,Howard Bison,0.013,0.013,0.013,0.013,7592,7592,7592,7592,76.9231,76.9231,76.9231,76.9231,1499.66319,2
2026-03-19 00:15:00-04:00,2026-03-19 04:15:00+00:00,Michigan Wolverines,0.988,0.988,0.988,0.988,-8233,-8233,-8233,-8233,1.0121,1.0121,1.0121,1.0121,25.24477,1
2026-03-19 00:20:00-04:00,2026-03-19 04:20:00+00:00,Howard Bison,0.013,0.013,0.013,0.013,7592,7592,7592,7592,76.9231,76.9231,76.9231,76.9231,1161.73909,3
2026-03-19 00:20:00-04:00,2026-03-19 04:20:00+00:00,Michigan Wolverines,0.988,0.988,0.988,0.988,-8233,-8233,-8233,-8233,1.0121,1.0121,1.0121,1.0121,25.24477,1
2026-03-19 00:25:00-04:00,2026-03-19 04:25:00+00:00,Howard Bison,0.013,0.013,0.013,0.013,7592,7592,7592,7592,76.9231,76.9231,76.9231,76.9231,0.0,0
2026-03-19 00:25:00-04:00,2026-03-19 04:25:00+00:00,Michigan Wolverines,0.988,0.988,0.988,0.988,-8233,-8233,-8233,-8233,1.0121,1.0121,1.0121,1.0121,25.24477,1
2026-03-19 00:30:00-04:00,2026-03-19 04:30:00+00:00,Howard Bison,0.013,0.013,0.013,0.013,7592,7592,7592,7592,76.9231,76.9231,76.9231,76.9231,0.0,0
2026-03-19 00:30:00-04:00,2026-03-19 04:30:00+00:00,Michigan Wolverines,0.988,0.988,0.988,0.988,-8233,-8233,-8233,-8233,1.0121,1.0121,1.0121,1.0121,25.24477,1
2026-03-19 00:35:00-04:00,2026-03-19 04:35:00+00:00,Howard Bison,0.013,0.013,0.013,0.013,7592,7592,7592,7592,76.9231,76.9231,76.9231,76.9231,0.0,0
2026-03-19 00:35:00-04:00,2026-03-19 04:35:00+00:00,Michigan Wolverines,0.988,0.988,0.988,0.988,-8233,-8233,-8233,-8233,1.0121,1.0121,1.0121,1.0121,25.24477,1
2026-03-19 00:40:00-04:00,2026-03-19 04:40:00+00:00,Howard Bison,0.013,0.013,0.012,0.012,7592,7592,8233,8233,76.9231,76.9231,83.3333,83.3333,1299.7151,4
2026-03-19 00:40:00-04:00,2026-03-19 04:40:00+00:00,Michigan Wolverines,0.988,0.988,0.988,0.988,-8233,-8233,-8233,-8233,1.0121,1.0121,1.0121,1.0121,25.24477,1
2026-03-19 00:45:00-04:00,2026-03-19 04:45:00+00:00,Howard Bison,0.013,0.013,0.012,0.012,7592,7592,8233,8233,76.9231,76.9231,83.3333,83.3333,0.0,0
2026-03-19 00:45:00-04:00,2026-03-19 04:45:00+00:00,Michigan Wolverines,0.988,0.988,0.988,0.988,-8233,-8233,-8233,-8233,1.0121,1.0121,1.0121,1.0121,25.24477,1
2026-03-19 00:50:00-04:00,2026-03-19 04:50:00+00:00,Howard Bison,0.012999987324999683,0.012999987324999683,0.012999987324999683,0.012999987324999683,7592,7592,7592,7592,76.9232,76.9232,76.9232,76.9232,76.905805,1
2026-03-19 00:50:00-04:00,2026-03-19 04:50:00+00:00,Michigan Wolverines,0.988,0.988,0.988,0.988,-8233,-8233,-8233,-8233,1.0121,1.0121,1.0121,1.0121,25.24477,1
2026-03-19 00:55:00-04:00,2026-03-19 04:55:00+00:00,Howard Bison,0.012999987324999683,0.012999987324999683,0.012999987324999683,0.012999987324999683,7592,7592,7592,7592,76.9232,76.9232,76.9232,76.9232,0.0,0
2026-03-19 00:55:00-04:00,2026-03-19 04:55:00+00:00,Michigan Wolverines,0.988,0.988,0.988,0.988,-8233,-8233,-8233,-8233,1.0121,1.0121,1.0121,1.0121,25.24477,1
2026-03-19 01:00:00-04:00,2026-03-19 05:00:00+00:00,Howard Bison,0.012999987324999683,0.012999987324999683,0.012999987324999683,0.012999987324999683,7592,7592,7592,7592,76.9232,76.9232,76.9232,76.9232,0.0,0
2026-03-19 01:00:00-04:00,2026-03-19 05:00:00+00:00,Michigan Wolverines,0.988,0.988,0.988,0.988,-8233,-8233,-8233,-8233,1.0121,1.0121,1.0121,1.0121,0.0,0
2026-03-19 01:05:00-04:00,2026-03-19 05:05:00+00:00,Howard Bison,0.013,0.013,0.013,0.013,7592,7592,7592,7592,76.9231,76.9231,76.9231,76.9231,499.88773,1
2026-03-19 01:05:00-04:00,2026-03-19 05:05:00+00:00,Michigan Wolverines,0.988,0.988,0.988,0.988,-8233,-8233,-8233,-8233,1.0121,1.0121,1.0121,1.0121,5947.88569,3
2026-03-19 01:10:00-04:00,2026-03-19 05:10:00+00:00,Howard Bison,0.012,0.012,0.012,0.012,8233,8233,8233,8233,83.3333,83.3333,83.3333,83.3333,5000.0,1
2026-03-19 01:10:00-04:00,2026-03-19 05:10:00+00:00,Michigan Wolverines,0.989,0.989,0.9889999901096836,0.9889999901096836,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,26.2561,2
2026-03-19 01:15:00-04:00,2026-03-19 05:15:00+00:00,Howard Bison,0.012,0.012,0.012,0.012,8233,8233,8233,8233,83.3333,83.3333,83.3333,83.3333,0.0,0
2026-03-19 01:15:00-04:00,2026-03-19 05:15:00+00:00,Michigan Wolverines,0.9889999901096836,0.989,0.9889999901096836,0.988999999992088,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,1038.196782,4
2026-03-19 01:20:00-04:00,2026-03-19 05:20:00+00:00,Howard Bison,0.012,0.012,0.012,0.012,8233,8233,8233,8233,83.3333,83.3333,83.3333,83.3333,0.0,0
2026-03-19 01:20:00-04:00,2026-03-19 05:20:00+00:00,Michigan Wolverines,0.989,0.989,0.989,0.989,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,25.2452,1
2026-03-19 01:25:00-04:00,2026-03-19 05:25:00+00:00,Howard Bison,0.012,0.012,0.012,0.012,8233,8233,8233,8233,83.3333,83.3333,83.3333,83.3333,99.97926,1
2026-03-19 01:25:00-04:00,2026-03-19 05:25:00+00:00,Michigan Wolverines,0.989,0.989,0.989,0.989,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,0.0,0
2026-03-19 01:30:00-04:00,2026-03-19 05:30:00+00:00,Howard Bison,0.012,0.012,0.012,0.012,8233,8233,8233,8233,83.3333,83.3333,83.3333,83.3333,61.98714,1
2026-03-19 01:30:00-04:00,2026-03-19 05:30:00+00:00,Michigan Wolverines,0.989,0.989,0.989,0.989,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,0.0,0
2026-03-19 01:35:00-04:00,2026-03-19 05:35:00+00:00,Howard Bison,0.012,0.012,0.012,0.012,8233,8233,8233,8233,83.3333,83.3333,83.3333,83.3333,322.93299,1
2026-03-19 01:35:00-04:00,2026-03-19 05:35:00+00:00,Michigan Wolverines,0.989,0.989,0.989,0.989,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,25.2452,1
2026-03-19 01:40:00-04:00,2026-03-19 05:40:00+00:00,Howard Bison,0.012,0.012,0.012,0.012,8233,8233,8233,8233,83.3333,83.3333,83.3333,83.3333,0.0,0
2026-03-19 01:40:00-04:00,2026-03-19 05:40:00+00:00,Michigan Wolverines,0.989,0.989,0.989,0.989,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,0.0,0
2026-03-19 01:45:00-04:00,2026-03-19 05:45:00+00:00,Howard Bison,0.0120000000192,0.0120000000192,0.0120000000192,0.0120000000192,8233,8233,8233,8233,83.3333,83.3333,83.3333,83.3333,416.58022600000004,1
2026-03-19 01:45:00-04:00,2026-03-19 05:45:00+00:00,Michigan Wolverines,0.989,0.989,0.989,0.989,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,0.0,0
2026-03-19 01:50:00-04:00,2026-03-19 05:50:00+00:00,Howard Bison,0.012000000048,0.012000000048,0.012000000048,0.012000000048,8233,8233,8233,8233,83.3333,83.3333,83.3333,83.3333,83.316053,1
2026-03-19 01:50:00-04:00,2026-03-19 05:50:00+00:00,Michigan Wolverines,0.989,0.989,0.989,0.989,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,0.0,0
2026-03-19 01:55:00-04:00,2026-03-19 05:55:00+00:00,Howard Bison,0.012000000048,0.012000000048,0.012000000048,0.012000000048,8233,8233,8233,8233,83.3333,83.3333,83.3333,83.3333,0.0,0
2026-03-19 01:55:00-04:00,2026-03-19 05:55:00+00:00,Michigan Wolverines,0.989,0.989,0.9889999999433238,0.9889999999433238,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,110.853354,2
2026-03-19 02:00:00-04:00,2026-03-19 06:00:00+00:00,Howard Bison,0.012000000192000003,0.012000000192000003,0.012000000192000003,0.012000000192000003,8233,8233,8233,8233,83.3333,83.3333,83.3333,83.3333,83.316052,1
2026-03-19 02:00:00-04:00,2026-03-19 06:00:00+00:00,Michigan Wolverines,0.989,0.989,0.9889999999433238,0.9889999999433238,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,0.0,0
2026-03-19 02:05:00-04:00,2026-03-19 06:05:00+00:00,Howard Bison,0.012000000192000003,0.012000000192000003,0.012000000192000003,0.012000000192000003,8233,8233,8233,8233,83.3333,83.3333,83.3333,83.3333,0.0,0
2026-03-19 02:05:00-04:00,2026-03-19 06:05:00+00:00,Michigan Wolverines,0.989,0.989,0.9889999999433238,0.9889999999433238,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,0.0,0
2026-03-19 02:10:00-04:00,2026-03-19 06:10:00+00:00,Howard Bison,0.012000000192000003,0.012000000192000003,0.012000000192000003,0.012000000192000003,8233,8233,8233,8233,83.3333,83.3333,83.3333,83.3333,0.0,0
2026-03-19 02:10:00-04:00,2026-03-19 06:10:00+00:00,Michigan Wolverines,0.989,0.989,0.9889999999433238,0.9889999999433238,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,0.0,0
2026-03-19 02:15:00-04:00,2026-03-19 06:15:00+00:00,Howard Bison,0.012000000192000003,0.012000000192000003,0.012000000192000003,0.012000000192000003,8233,8233,8233,8233,83.3333,83.3333,83.3333,83.3333,0.0,0
