datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-28 18:20:00-04:00,2026-03-28 22:20:00+00:00,Illinois Fighting Illini,0.66,0.72,0.6599998239998793,0.7199998617599712,-194,-257,-194,-257,1.5152,1.3889,1.5152,1.3889,10901.1221,66
2026-03-28 18:20:00-04:00,2026-03-28 22:20:00+00:00,Iowa Hawkeyes,0.36,0.36,0.28999999097777757,0.2899999986803449,178,178,245,245,2.7778,2.7778,3.4483,3.4483,6040.235261,46
2026-03-28 18:25:00-04:00,2026-03-28 22:25:00+00:00,Illinois Fighting Illini,0.72,0.72,0.67,0.6999999929999994,-257,-257,-203,-233,1.3889,1.3889,1.4925,1.4286,7663.432377,62
2026-03-28 18:25:00-04:00,2026-03-28 22:25:00+00:00,Iowa Hawkeyes,0.29,0.33,0.28,0.30999993644998125,245,203,257,223,3.4483,3.0303,3.5714,3.2258,4581.073053,29
2026-03-28 18:30:00-04:00,2026-03-28 22:30:00+00:00,Illinois Fighting Illini,0.6999999832935525,0.6999999995333334,0.6299994740361713,0.68,-233,-233,-170,-213,1.4286,1.4286,1.5873,1.4706,8054.824823,77
2026-03-28 18:30:00-04:00,2026-03-28 22:30:00+00:00,Iowa Hawkeyes,0.30999987672512314,0.38,0.30999987672512314,0.33,223,163,223,203,3.2258,2.6316,3.2258,3.0303,25955.134105,109
2026-03-28 18:35:00-04:00,2026-03-28 22:35:00+00:00,Illinois Fighting Illini,0.669999969819794,0.7,0.669999969819794,0.7,-203,-233,-203,-233,1.4925,1.4286,1.4925,1.4286,212204.982433,336
2026-03-28 18:35:00-04:00,2026-03-28 22:35:00+00:00,Iowa Hawkeyes,0.33,0.33827754957025513,0.30999996217999704,0.30999996217999704,203,196,223,223,3.0303,2.9562,3.2258,3.2258,39412.904352000005,42
2026-03-28 18:40:00-04:00,2026-03-28 22:40:00+00:00,Illinois Fighting Illini,0.6999999824999917,0.7,0.69,0.6999999824999917,-233,-233,-223,-233,1.4286,1.4286,1.4493,1.4286,1577.482699,21
2026-03-28 18:40:00-04:00,2026-03-28 22:40:00+00:00,Iowa Hawkeyes,0.30999998356999925,0.31,0.3,0.3099999946266666,223,223,233,223,3.2258,3.2258,3.3333,3.2258,4852.580782999999,18
2026-03-28 18:45:00-04:00,2026-03-28 22:45:00+00:00,Illinois Fighting Illini,0.6999999824999917,0.7099999975147515,0.64,0.64,-233,-245,-178,-178,1.4286,1.4085,1.5625,1.5625,525.640179,18
2026-03-28 18:45:00-04:00,2026-03-28 22:45:00+00:00,Iowa Hawkeyes,0.31,0.37,0.299999819999928,0.37,223,170,233,170,3.2258,2.7027,3.3333,2.7027,24965.889802,68
2026-03-28 18:50:00-04:00,2026-03-28 22:50:00+00:00,Illinois Fighting Illini,0.63,0.7099999188570748,0.6099999786499901,0.7099999188570748,-170,-245,-156,-245,1.5873,1.4085,1.6393,1.4085,11056.188901,53
2026-03-28 18:50:00-04:00,2026-03-28 22:50:00+00:00,Iowa Hawkeyes,0.37,0.4,0.32,0.32,170,150,212,212,2.7027,2.5,3.125,3.125,4094.479973,60
2026-03-28 18:55:00-04:00,2026-03-28 22:55:00+00:00,Illinois Fighting Illini,0.709999999605435,0.73,0.67,0.67,-245,-270,-203,-203,1.4085,1.3699,1.4925,1.4925,12051.965581,38
2026-03-28 18:55:00-04:00,2026-03-28 22:55:00+00:00,Iowa Hawkeyes,0.3,0.34,0.27,0.34,233,194,270,194,3.3333,2.9412,3.7037,2.9412,10577.782972,75
2026-03-28 19:00:00-04:00,2026-03-28 23:00:00+00:00,Illinois Fighting Illini,0.669999962479987,0.7,0.65,0.65,-203,-233,-186,-186,1.4925,1.4286,1.5385,1.5385,6665.716554,49
2026-03-28 19:00:00-04:00,2026-03-28 23:00:00+00:00,Iowa Hawkeyes,0.3399999998266289,0.36,0.3,0.36,194,178,233,178,2.9412,2.7778,3.3333,2.7778,11323.148678,85
2026-03-28 19:05:00-04:00,2026-03-28 23:05:00+00:00,Illinois Fighting Illini,0.65,0.65,0.61,0.62,-186,-186,-156,-163,1.5385,1.5385,1.6393,1.6129,21349.207932,31
2026-03-28 19:05:00-04:00,2026-03-28 23:05:00+00:00,Iowa Hawkeyes,0.3599999965714285,0.39,0.35999987039991704,0.389999811499934,178,156,178,156,2.7778,2.5641,2.7778,2.5641,135000.26006000003,53
2026-03-28 19:10:00-04:00,2026-03-28 23:10:00+00:00,Illinois Fighting Illini,0.62,0.62,0.61,0.62,-163,-163,-156,-163,1.6129,1.6129,1.6393,1.6129,16257.715391,37
2026-03-28 19:10:00-04:00,2026-03-28 23:10:00+00:00,Iowa Hawkeyes,0.39,0.39,0.37999995415312715,0.38999999024999976,156,156,163,156,2.5641,2.5641,2.6316,2.5641,28517.604932000002,29
