datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-19 00:00:00-04:00,2026-03-19 04:00:00+00:00,Arizona Wildcats,0.989,0.989,0.989,0.989,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,9.9981,1
2026-03-19 00:05:00-04:00,2026-03-19 04:05:00+00:00,Arizona Wildcats,0.989,0.989,0.989,0.989,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,9.9981,1
2026-03-19 00:10:00-04:00,2026-03-19 04:10:00+00:00,Arizona Wildcats,0.98899999964991,0.98899999964991,0.98899999964991,0.98899999964991,-8991,-8991,-8991,-8991,1.0111,1.0111,1.0111,1.0111,5.711738,1
2026-03-19 00:15:00-04:00,2026-03-19 04:15:00+00:00,Arizona Wildcats,0.989,0.989,0.988,0.988,-8991,-8991,-8233,-8233,1.0111,1.0111,1.0121,1.0121,36.20373,6
2026-03-19 00:15:00-04:00,2026-03-19 04:15:00+00:00,LIU Sharks,0.012900323594297105,0.012900323594297105,0.012900323594297105,0.012900323594297105,7652,7652,7652,7652,77.5174,77.5174,77.5174,77.5174,232.500486,1
2026-03-19 00:20:00-04:00,2026-03-19 04:20:00+00:00,Arizona Wildcats,0.989,0.989,0.988,0.988,-8991,-8991,-8233,-8233,1.0111,1.0111,1.0121,1.0121,0.0,0
2026-03-19 00:20:00-04:00,2026-03-19 04:20:00+00:00,LIU Sharks,0.012900323594297105,0.012900323594297105,0.012900323594297105,0.012900323594297105,7652,7652,7652,7652,77.5174,77.5174,77.5174,77.5174,0.0,0
2026-03-19 00:25:00-04:00,2026-03-19 04:25:00+00:00,Arizona Wildcats,0.989,0.989,0.988,0.988,-8991,-8991,-8233,-8233,1.0111,1.0111,1.0121,1.0121,0.0,0
2026-03-19 00:25:00-04:00,2026-03-19 04:25:00+00:00,LIU Sharks,0.012900323594297105,0.012900323594297105,0.012900323594297105,0.012900323594297105,7652,7652,7652,7652,77.5174,77.5174,77.5174,77.5174,0.0,0
2026-03-19 00:30:00-04:00,2026-03-19 04:30:00+00:00,Arizona Wildcats,0.989,0.989,0.988,0.988,-8991,-8991,-8233,-8233,1.0111,1.0111,1.0121,1.0121,0.0,0
2026-03-19 00:30:00-04:00,2026-03-19 04:30:00+00:00,LIU Sharks,0.012900323594297105,0.012900323594297105,0.012900323594297105,0.012900323594297105,7652,7652,7652,7652,77.5174,77.5174,77.5174,77.5174,0.0,0
2026-03-19 00:35:00-04:00,2026-03-19 04:35:00+00:00,Arizona Wildcats,0.989,0.989,0.988,0.988,-8991,-8991,-8233,-8233,1.0111,1.0111,1.0121,1.0121,0.0,0
2026-03-19 00:35:00-04:00,2026-03-19 04:35:00+00:00,LIU Sharks,0.012900323594297105,0.012900323594297105,0.012900323594297105,0.012900323594297105,7652,7652,7652,7652,77.5174,77.5174,77.5174,77.5174,0.0,0
2026-03-19 00:40:00-04:00,2026-03-19 04:40:00+00:00,Arizona Wildcats,0.989,0.989,0.988,0.988,-8991,-8991,-8233,-8233,1.0111,1.0111,1.0121,1.0121,0.0,0
