datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-27 22:20:00-04:00,2026-03-28 02:20:00+00:00,Connecticut Huskies,0.8332714539207606,0.8999993513506501,0.83,0.8999993513506501,-500,-900,-488,-900,1.2001,1.1111,1.2048,1.1111,93664.525716,72
2026-03-27 22:20:00-04:00,2026-03-28 02:20:00+00:00,Michigan State Spartans,0.16999992654319626,0.16999999371824476,0.1,0.1,488,488,900,900,5.8824,5.8824,10.0,10.0,49810.222643,56
2026-03-27 22:25:00-04:00,2026-03-28 02:25:00+00:00,Connecticut Huskies,0.9,0.92,0.85,0.8699999587894539,-900,-1150,-567,-669,1.1111,1.087,1.1765,1.1494,27669.683166000003,190
2026-03-27 22:25:00-04:00,2026-03-28 02:25:00+00:00,Michigan State Spartans,0.11,0.15,0.08,0.14,809,567,1150,614,9.0909,6.6667,12.5,7.1429,62361.425600999995,158
2026-03-27 22:30:00-04:00,2026-03-28 02:30:00+00:00,Connecticut Huskies,0.85,0.89,0.85,0.889999999555,-567,-809,-567,-809,1.1765,1.1236,1.1765,1.1236,2967.385095,36
2026-03-27 22:30:00-04:00,2026-03-28 02:30:00+00:00,Michigan State Spartans,0.14,0.15,0.11,0.12,614,567,809,733,7.1429,6.6667,9.0909,8.3333,16347.801164,90
2026-03-27 22:35:00-04:00,2026-03-28 02:35:00+00:00,Connecticut Huskies,0.88,0.8899999903956778,0.8499999613634976,0.8699996589202007,-733,-809,-567,-669,1.1364,1.1236,1.1765,1.1494,17842.435175000002,65
2026-03-27 22:35:00-04:00,2026-03-28 02:35:00+00:00,Michigan State Spartans,0.11999998079999923,0.1699999870799997,0.11999998079999923,0.15,733,488,733,567,8.3333,5.8824,8.3333,6.6667,60425.407398999996,67
2026-03-27 22:40:00-04:00,2026-03-28 02:40:00+00:00,Connecticut Huskies,0.86,0.91,0.86,0.9,-614,-1011,-614,-900,1.1628,1.0989,1.1628,1.1111,10740.72783,27
2026-03-27 22:40:00-04:00,2026-03-28 02:40:00+00:00,Michigan State Spartans,0.13,0.13621989731302736,0.09,0.11,669,634,1011,809,7.6923,7.3411,11.1111,9.0909,33220.712619,49
