datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-28 21:10:00-04:00,2026-03-29 01:10:00+00:00,Arizona Wildcats,0.7,0.83,0.7,0.8,-233,-488,-233,-400,1.4286,1.2048,1.4286,1.25,17850.576447,176
2026-03-28 21:10:00-04:00,2026-03-29 01:10:00+00:00,Purdue Boilermakers,0.29,0.29,0.17,0.2,245,245,488,400,3.4483,3.4483,5.8824,5.0,13491.996571,103
2026-03-28 21:15:00-04:00,2026-03-29 01:15:00+00:00,Arizona Wildcats,0.8122045822487052,0.8122045822487052,0.78,0.8,-432,-432,-355,-400,1.2312,1.2312,1.2821,1.25,18364.894283,32
2026-03-28 21:15:00-04:00,2026-03-29 01:15:00+00:00,Purdue Boilermakers,0.2,0.2199999850399995,0.2,0.21,400,355,400,376,5.0,4.5455,5.0,4.7619,20530.855143,39
2026-03-28 21:20:00-04:00,2026-03-29 01:20:00+00:00,Arizona Wildcats,0.8,0.8099999956799999,0.6599995994479665,0.66,-400,-426,-194,-194,1.25,1.2346,1.5152,1.5152,5807.450098,89
2026-03-28 21:20:00-04:00,2026-03-29 01:20:00+00:00,Purdue Boilermakers,0.19355655559538176,0.35,0.19,0.349999979289939,417,186,426,186,5.1664,2.8571,5.2632,2.8571,37894.163498999995,134
2026-03-28 21:25:00-04:00,2026-03-29 01:25:00+00:00,Arizona Wildcats,0.6656775334545455,0.6656775334545455,0.61,0.6299999892666664,-199,-199,-156,-170,1.5022,1.5022,1.6393,1.5873,15914.684932,77
2026-03-28 21:25:00-04:00,2026-03-29 01:25:00+00:00,Purdue Boilermakers,0.3499999992840909,0.39,0.34,0.37,186,156,194,170,2.8571,2.5641,2.9412,2.7027,25152.463817,54
2026-03-28 21:30:00-04:00,2026-03-29 01:30:00+00:00,Arizona Wildcats,0.63,0.71,0.6199998511998869,0.69,-170,-245,-163,-223,1.5873,1.4085,1.6129,1.4493,26337.869206,67
2026-03-28 21:30:00-04:00,2026-03-29 01:30:00+00:00,Purdue Boilermakers,0.36,0.38511188658110385,0.299999819999928,0.31,178,160,233,223,2.7778,2.5966,3.3333,3.2258,40638.737236,68
2026-03-28 21:35:00-04:00,2026-03-29 01:35:00+00:00,Arizona Wildcats,0.69,0.7,0.54,0.55,-223,-233,-117,-122,1.4493,1.4286,1.8519,1.8182,7322.658729,63
2026-03-28 21:35:00-04:00,2026-03-29 01:35:00+00:00,Purdue Boilermakers,0.30999985226557997,0.46,0.3,0.46,223,117,233,117,3.2258,2.1739,3.3333,2.1739,36026.885736000004,86
2026-03-28 21:40:00-04:00,2026-03-29 01:40:00+00:00,Arizona Wildcats,0.5399999361290054,0.5841705619101357,0.49,0.58,-117,-140,104,-138,1.8519,1.7118,2.0408,1.7241,62726.638455,115
2026-03-28 21:40:00-04:00,2026-03-29 01:40:00+00:00,Purdue Boilermakers,0.46,0.51,0.41,0.4199999831999973,117,-104,144,138,2.1739,1.9608,2.439,2.381,27187.291203,63
2026-03-28 21:45:00-04:00,2026-03-29 01:45:00+00:00,Arizona Wildcats,0.6,0.6,0.48,0.49,-150,-150,108,104,1.6667,1.6667,2.0833,2.0408,58660.436376,176
2026-03-28 21:45:00-04:00,2026-03-29 01:45:00+00:00,Purdue Boilermakers,0.4,0.52,0.4,0.5199999985166167,150,-108,150,-108,2.5,1.9231,2.5,1.9231,153532.30937,233
2026-03-28 21:50:00-04:00,2026-03-29 01:50:00+00:00,Arizona Wildcats,0.48999997925925465,0.5,0.48,0.489999999069,104,-100,108,104,2.0408,2.0,2.0833,2.0408,30200.997010000003,85
2026-03-28 21:50:00-04:00,2026-03-29 01:50:00+00:00,Purdue Boilermakers,0.5199998335999201,0.52,0.51,0.52,-108,-108,-104,-108,1.9231,1.9231,1.9608,1.9231,44698.728541000004,25
2026-03-28 21:55:00-04:00,2026-03-29 01:55:00+00:00,Arizona Wildcats,0.4899999899759322,0.5,0.48999982849988855,0.5,104,-100,104,-100,2.0408,2.0,2.0408,2.0,46742.534431,38
2026-03-28 21:55:00-04:00,2026-03-29 01:55:00+00:00,Purdue Boilermakers,0.5199999983097676,0.5199999983097676,0.5099998316998873,0.51,-108,-108,-104,-104,1.9231,1.9231,1.9608,1.9608,7655.771836,24
2026-03-28 22:00:00-04:00,2026-03-29 02:00:00+00:00,Arizona Wildcats,0.5,0.5,0.4899999996276,0.5,-100,-100,104,-100,2.0,2.0,2.0408,2.0,51119.814492,37
2026-03-28 22:00:00-04:00,2026-03-29 02:00:00+00:00,Purdue Boilermakers,0.5099999794798811,0.52,0.5,0.5099999999553527,-104,-108,-100,-104,1.9608,1.9231,2.0,1.9608,163974.50901100002,55
2026-03-28 22:05:00-04:00,2026-03-29 02:05:00+00:00,Arizona Wildcats,0.5,0.53,0.4799998877921612,0.53,-100,-113,108,-113,2.0,1.8868,2.0833,1.8868,38784.029967999995,74
2026-03-28 22:05:00-04:00,2026-03-29 02:05:00+00:00,Purdue Boilermakers,0.51,0.5299999994676339,0.4699999889311577,0.46999999153999933,-104,-113,113,113,1.9608,1.8868,2.1277,2.1277,39838.448262,50
2026-03-28 22:10:00-04:00,2026-03-29 02:10:00+00:00,Arizona Wildcats,0.5399999994417403,0.57,0.5,0.55,-117,-133,-100,-122,1.8519,1.7544,2.0,1.8182,35660.265528,130
2026-03-28 22:10:00-04:00,2026-03-29 02:10:00+00:00,Purdue Boilermakers,0.4699999301606249,0.51,0.44,0.4499999794207264,113,-104,127,122,2.1277,1.9608,2.2727,2.2222,31381.226774000002,104
2026-03-28 22:15:00-04:00,2026-03-29 02:15:00+00:00,Arizona Wildcats,0.56,0.7,0.55,0.69,-127,-233,-122,-223,1.7857,1.4286,1.8182,1.4493,107249.087444,314
2026-03-28 22:15:00-04:00,2026-03-29 02:15:00+00:00,Purdue Boilermakers,0.4499997974998886,0.45,0.31,0.32,122,122,223,212,2.2222,2.2222,3.2258,3.125,21315.493435,153
2026-03-28 22:20:00-04:00,2026-03-29 02:20:00+00:00,Arizona Wildcats,0.6899999997465306,0.7899999998482345,0.6699998876877502,0.75,-223,-376,-203,-300,1.4493,1.2658,1.4925,1.3333,65919.199024,114
2026-03-28 22:20:00-04:00,2026-03-29 02:20:00+00:00,Purdue Boilermakers,0.32,0.32999999777437156,0.21,0.25120234604105574,212,203,376,298,3.125,3.0303,4.7619,3.9809,16386.154101,82
2026-03-28 22:25:00-04:00,2026-03-29 02:25:00+00:00,Arizona Wildcats,0.73378464,0.88,0.73,0.88,-276,-733,-270,-733,1.3628,1.1364,1.3699,1.1364,66644.577535,131
2026-03-28 22:25:00-04:00,2026-03-29 02:25:00+00:00,Purdue Boilermakers,0.26999999369999994,0.2699999998542,0.11,0.12,270,270,809,733,3.7037,3.7037,9.0909,8.3333,58101.57524099999,72
2026-03-28 22:30:00-04:00,2026-03-29 02:30:00+00:00,Arizona Wildcats,0.8899999995455319,0.89,0.85,0.87,-809,-809,-567,-669,1.1236,1.1236,1.1765,1.1494,28842.010599,41
2026-03-28 22:30:00-04:00,2026-03-29 02:30:00+00:00,Purdue Boilermakers,0.1,0.15,0.1,0.14,900,567,900,614,10.0,6.6667,10.0,7.1429,47744.664713,90
2026-03-28 22:35:00-04:00,2026-03-29 02:35:00+00:00,Arizona Wildcats,0.869999998782,0.93,0.84,0.9,-669,-1329,-525,-900,1.1494,1.0753,1.1905,1.1111,30306.185378,122
2026-03-28 22:35:00-04:00,2026-03-29 02:35:00+00:00,Purdue Boilermakers,0.13999988239998118,0.16,0.0637514950166113,0.11,614,525,1469,809,7.1429,6.25,15.6859,9.0909,101251.857393,42
2026-03-28 22:40:00-04:00,2026-03-29 02:40:00+00:00,Arizona Wildcats,0.9,0.95,0.9,0.93,-900,-1900,-900,-1329,1.1111,1.0526,1.1111,1.0753,28486.454981,56
