datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-27 19:25:00-04:00,2026-03-27 23:25:00+00:00,Duke Blue Devils,0.67,0.67,0.6099999786499901,0.6099999786499901,-203,-203,-156,-156,1.4925,1.4925,1.6393,1.6393,10730.402248,53
2026-03-27 19:25:00-04:00,2026-03-27 23:25:00+00:00,St. Johns Red Storm,0.3299999590799969,0.39,0.32999993186233467,0.39,203,156,203,156,3.0303,2.5641,3.0303,2.5641,39220.144497999994,62
2026-03-27 19:30:00-04:00,2026-03-27 23:30:00+00:00,Duke Blue Devils,0.61,0.63,0.5790740938410162,0.61,-156,-170,-138,-156,1.6393,1.5873,1.7269,1.6393,28936.810908,120
2026-03-27 19:30:00-04:00,2026-03-27 23:30:00+00:00,St. Johns Red Storm,0.4,0.42999999991213944,0.36999984953329423,0.4,150,133,170,150,2.5,2.3256,2.7027,2.5,20220.804787,64
2026-03-27 19:35:00-04:00,2026-03-27 23:35:00+00:00,Duke Blue Devils,0.6199999912675996,0.6899998727182229,0.6199999912675996,0.6499999015150918,-163,-223,-163,-186,1.6129,1.4493,1.6129,1.5385,42346.630546,48
2026-03-27 19:35:00-04:00,2026-03-27 23:35:00+00:00,St. Johns Red Storm,0.39,0.39,0.32,0.3599999842821152,156,156,212,178,2.5641,2.5641,3.125,2.7778,22486.02696,53
2026-03-27 19:40:00-04:00,2026-03-27 23:40:00+00:00,Duke Blue Devils,0.65,0.7029235977923832,0.6499999598765375,0.7029235977923832,-186,-237,-186,-237,1.5385,1.4226,1.5385,1.4226,18267.623933,40
2026-03-27 19:40:00-04:00,2026-03-27 23:40:00+00:00,St. Johns Red Storm,0.35999997695999686,0.35999998919999965,0.3,0.3,178,178,233,233,2.7778,2.7778,3.3333,3.3333,8798.590076,17
2026-03-27 19:45:00-04:00,2026-03-27 23:45:00+00:00,Duke Blue Devils,0.71,0.84,0.71,0.84,-245,-525,-245,-525,1.4085,1.1905,1.4085,1.1905,48741.256966,70
2026-03-27 19:45:00-04:00,2026-03-27 23:45:00+00:00,St. Johns Red Storm,0.25999984268903864,0.26,0.16,0.16,285,285,525,525,3.8462,3.8462,6.25,6.25,6764.258624,36
2026-03-27 19:50:00-04:00,2026-03-27 23:50:00+00:00,Duke Blue Devils,0.84,0.84,0.8,0.8,-525,-525,-400,-400,1.1905,1.1905,1.25,1.25,1646.625557,17
2026-03-27 19:50:00-04:00,2026-03-27 23:50:00+00:00,St. Johns Red Storm,0.16999988609996242,0.21,0.16,0.21,488,376,525,376,5.8824,4.7619,6.25,4.7619,30219.820476999997,51
2026-03-27 19:55:00-04:00,2026-03-27 23:55:00+00:00,Duke Blue Devils,0.8,0.81,0.7399999643373296,0.74,-400,-426,-285,-285,1.25,1.2346,1.3514,1.3514,15066.392008,69
2026-03-27 19:55:00-04:00,2026-03-27 23:55:00+00:00,St. Johns Red Storm,0.209999998425,0.269999998956,0.18999994535397383,0.26,376,270,426,285,4.7619,3.7037,5.2632,3.8462,29152.594006,40
2026-03-27 20:00:00-04:00,2026-03-28 00:00:00+00:00,Duke Blue Devils,0.74,0.74,0.6499999674999887,0.66,-285,-285,-186,-194,1.3514,1.3514,1.5385,1.5152,4230.337901,87
2026-03-27 20:00:00-04:00,2026-03-28 00:00:00+00:00,St. Johns Red Storm,0.27,0.36,0.26,0.34999980909083966,270,178,285,186,3.7037,2.7778,3.8462,2.8571,72503.411777,117
2026-03-27 20:05:00-04:00,2026-03-28 00:05:00+00:00,Duke Blue Devils,0.66,0.66,0.65,0.66,-194,-194,-186,-194,1.5152,1.5152,1.5385,1.5152,8185.997484000001,24
2026-03-27 20:05:00-04:00,2026-03-28 00:05:00+00:00,St. Johns Red Storm,0.34999980909083966,0.35,0.34,0.3499999988829787,186,186,194,186,2.8571,2.8571,2.9412,2.8571,10144.239916,19
2026-03-27 20:10:00-04:00,2026-03-28 00:10:00+00:00,Duke Blue Devils,0.659999997624,0.66,0.65,0.6599999603999865,-194,-194,-186,-194,1.5152,1.5152,1.5385,1.5152,170421.824195,39
2026-03-27 20:10:00-04:00,2026-03-28 00:10:00+00:00,St. Johns Red Storm,0.34999999835749296,0.35,0.34,0.35,186,186,194,186,2.8571,2.8571,2.9412,2.8571,19035.788408999997,12
2026-03-27 20:15:00-04:00,2026-03-28 00:15:00+00:00,Duke Blue Devils,0.66,0.67,0.6599998943999641,0.6699999949749997,-194,-203,-194,-203,1.5152,1.4925,1.5152,1.4925,374011.84894099995,57
2026-03-27 20:15:00-04:00,2026-03-28 00:15:00+00:00,St. Johns Red Storm,0.3499999614999965,0.35,0.33,0.33999995030768043,186,186,203,194,2.8571,2.8571,3.0303,2.9412,34032.779079,34
2026-03-27 20:20:00-04:00,2026-03-28 00:20:00+00:00,Duke Blue Devils,0.6699999971859999,0.67,0.66,0.67,-203,-203,-194,-203,1.4925,1.4925,1.5152,1.4925,3037.801935,17
2026-03-27 20:20:00-04:00,2026-03-28 00:20:00+00:00,St. Johns Red Storm,0.34,0.34,0.33,0.33999999673599995,194,194,203,194,2.9412,2.9412,3.0303,2.9412,30284.123541999998,19
2026-03-27 20:25:00-04:00,2026-03-28 00:25:00+00:00,Duke Blue Devils,0.6699999988744,0.78,0.58,0.6,-203,-355,-138,-150,1.4925,1.2821,1.7241,1.6667,34937.801826,67
2026-03-27 20:25:00-04:00,2026-03-28 00:25:00+00:00,St. Johns Red Storm,0.33,0.4199998235998977,0.23,0.4,203,138,335,150,3.0303,2.381,4.3478,2.5,63284.400282,82
2026-03-27 20:30:00-04:00,2026-03-28 00:30:00+00:00,Duke Blue Devils,0.61,0.6199998830188165,0.49,0.5,-156,-163,104,-100,1.6393,1.6129,2.0408,2.0,41415.87412,77
2026-03-27 20:30:00-04:00,2026-03-28 00:30:00+00:00,St. Johns Red Storm,0.4,0.51,0.37999994679998084,0.5,150,-104,163,-100,2.5,1.9608,2.6316,2.0,73463.66255400001,80
2026-03-27 20:35:00-04:00,2026-03-28 00:35:00+00:00,Duke Blue Devils,0.5,0.5,0.36,0.38,-100,-100,178,163,2.0,2.0,2.7778,2.6316,25531.482754,80
2026-03-27 20:35:00-04:00,2026-03-28 00:35:00+00:00,St. Johns Red Storm,0.509999956649982,0.64,0.5,0.61,-104,-178,-100,-156,1.9608,1.5625,2.0,1.6393,41109.883929,81
2026-03-27 20:40:00-04:00,2026-03-28 00:40:00+00:00,Duke Blue Devils,0.4,0.43,0.31,0.4299999992037037,150,133,223,133,2.5,2.3256,3.2258,2.3256,51418.605371,75
2026-03-27 20:40:00-04:00,2026-03-28 00:40:00+00:00,St. Johns Red Storm,0.6099999966630193,0.69,0.57,0.58,-156,-223,-133,-138,1.6393,1.4493,1.7544,1.7241,45335.02766,142
2026-03-27 20:45:00-04:00,2026-03-28 00:45:00+00:00,Duke Blue Devils,0.43,0.5886,0.43,0.5299999754629527,133,-143,133,-113,2.3256,1.6989,2.3256,1.8868,43290.892605,90
2026-03-27 20:45:00-04:00,2026-03-28 00:45:00+00:00,St. Johns Red Storm,0.57,0.57,0.42,0.47,-133,-133,138,113,1.7544,1.7544,2.381,2.1277,36127.379030000004,93
2026-03-27 20:50:00-04:00,2026-03-28 00:50:00+00:00,Duke Blue Devils,0.52,0.5799998746733309,0.44,0.5,-108,-138,127,-100,1.9231,1.7241,2.2727,2.0,42197.14115,82
2026-03-27 20:50:00-04:00,2026-03-28 00:50:00+00:00,St. Johns Red Storm,0.47,0.565,0.42,0.5,113,-130,138,-100,2.1277,1.7699,2.381,2.0,43421.605782,79
2026-03-27 20:55:00-04:00,2026-03-28 00:55:00+00:00,Duke Blue Devils,0.5,0.6899999442424006,0.49,0.6699996904676172,-100,-223,104,-203,2.0,1.4493,2.0408,1.4925,57048.713382,208
2026-03-27 20:55:00-04:00,2026-03-28 00:55:00+00:00,St. Johns Red Storm,0.5,0.5073404255319149,0.32,0.3399999857199992,-100,-103,212,194,2.0,1.9711,3.125,2.9412,30786.960076,72
2026-03-27 21:00:00-04:00,2026-03-28 01:00:00+00:00,Duke Blue Devils,0.6699999584306443,0.8,0.5899999357822763,0.6,-203,-400,-144,-150,1.4925,1.25,1.6949,1.6667,86840.909583,216
2026-03-27 21:00:00-04:00,2026-03-28 01:00:00+00:00,St. Johns Red Storm,0.34,0.41,0.20999998613999954,0.39,194,144,376,156,2.9412,2.439,4.7619,2.5641,47817.078966,99
2026-03-27 21:05:00-04:00,2026-03-28 01:05:00+00:00,Duke Blue Devils,0.609999859699892,0.84,0.5399999654399953,0.8299999086998274,-156,-525,-117,-488,1.6393,1.1905,1.8519,1.2048,63475.371288,229
2026-03-27 21:05:00-04:00,2026-03-28 01:05:00+00:00,St. Johns Red Storm,0.4,0.46999999247999963,0.16,0.17,150,113,525,488,2.5,2.1277,6.25,5.8824,44477.872881,128
2026-03-27 21:10:00-04:00,2026-03-28 01:10:00+00:00,Duke Blue Devils,0.83,0.96,0.83,0.939999998187077,-488,-2400,-488,-1567,1.2048,1.0417,1.2048,1.0638,86174.580347,200
2026-03-27 21:10:00-04:00,2026-03-28 01:10:00+00:00,St. Johns Red Storm,0.16,0.17,0.04686218960508683,0.07,525,488,2034,1329,6.25,5.8824,21.3392,14.2857,131548.464732,203
2026-03-27 21:15:00-04:00,2026-03-28 01:15:00+00:00,Duke Blue Devils,0.94,0.96,0.8899999109995639,0.94,-1567,-2400,-809,-1567,1.0638,1.0417,1.1236,1.0638,41308.589633999996,67
2026-03-27 21:15:00-04:00,2026-03-28 01:15:00+00:00,St. Johns Red Storm,0.07,0.13,0.04,0.06,1329,669,2400,1567,14.2857,7.6923,25.0,16.6667,19331.121077,100
2026-03-27 21:20:00-04:00,2026-03-28 01:20:00+00:00,Duke Blue Devils,0.95,0.999,0.9099999562499179,0.999,-1900,-99900,-1011,-99900,1.0526,1.001,1.0989,1.001,34504.343932,56
2026-03-27 21:20:00-04:00,2026-03-28 01:20:00+00:00,St. Johns Red Storm,0.059999994599999946,0.1,0.001,0.005897796107745844,1567,900,99900,16855,16.6667,10.0,1000.0,169.5549,22155.675248,53
2026-03-27 21:25:00-04:00,2026-03-28 01:25:00+00:00,Duke Blue Devils,0.999,0.999,0.9940966435766154,0.999,-99900,-99900,-16840,-99900,1.001,1.001,1.0059,1.001,4340.57,44
2026-03-27 21:25:00-04:00,2026-03-28 01:25:00+00:00,St. Johns Red Storm,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,2411.95785,5
