datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-20 01:20:00-04:00,2026-03-20 05:20:00+00:00,Houston Cougars,0.8,0.8,0.79,0.79,-400,-400,-376,-376,1.25,1.25,1.2658,1.2658,115.67004,3
2026-03-20 01:20:00-04:00,2026-03-20 05:20:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,60.0,1
2026-03-20 01:25:00-04:00,2026-03-20 05:25:00+00:00,Houston Cougars,0.8,0.8,0.79,0.79,-400,-400,-376,-376,1.25,1.25,1.2658,1.2658,0.0,0
2026-03-20 01:25:00-04:00,2026-03-20 05:25:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,0.0,0
2026-03-20 01:30:00-04:00,2026-03-20 05:30:00+00:00,Houston Cougars,0.79,0.79,0.79,0.79,-376,-376,-376,-376,1.2658,1.2658,1.2658,1.2658,41.87807,2
2026-03-20 01:30:00-04:00,2026-03-20 05:30:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,6.0,1
2026-03-20 01:35:00-04:00,2026-03-20 05:35:00+00:00,Houston Cougars,0.79,0.79,0.79,0.79,-376,-376,-376,-376,1.2658,1.2658,1.2658,1.2658,0.0,0
2026-03-20 01:35:00-04:00,2026-03-20 05:35:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,0.0,0
2026-03-20 01:40:00-04:00,2026-03-20 05:40:00+00:00,Houston Cougars,0.79,0.79,0.79,0.79,-376,-376,-376,-376,1.2658,1.2658,1.2658,1.2658,0.0,0
2026-03-20 01:40:00-04:00,2026-03-20 05:40:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,0.0,0
2026-03-20 01:45:00-04:00,2026-03-20 05:45:00+00:00,Houston Cougars,0.79,0.79,0.79,0.79,-376,-376,-376,-376,1.2658,1.2658,1.2658,1.2658,0.0,0
2026-03-20 01:45:00-04:00,2026-03-20 05:45:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,0.0,0
2026-03-20 01:50:00-04:00,2026-03-20 05:50:00+00:00,Houston Cougars,0.79,0.79,0.79,0.79,-376,-376,-376,-376,1.2658,1.2658,1.2658,1.2658,0.0,0
2026-03-20 01:50:00-04:00,2026-03-20 05:50:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,0.0,0
2026-03-20 01:55:00-04:00,2026-03-20 05:55:00+00:00,Houston Cougars,0.79,0.79,0.79,0.79,-376,-376,-376,-376,1.2658,1.2658,1.2658,1.2658,0.0,0
2026-03-20 01:55:00-04:00,2026-03-20 05:55:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,0.0,0
2026-03-20 02:00:00-04:00,2026-03-20 06:00:00+00:00,Houston Cougars,0.79,0.79,0.79,0.79,-376,-376,-376,-376,1.2658,1.2658,1.2658,1.2658,2.9913,1
2026-03-20 02:00:00-04:00,2026-03-20 06:00:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,0.0,0
2026-03-20 02:05:00-04:00,2026-03-20 06:05:00+00:00,Houston Cougars,0.79,0.79,0.79,0.79,-376,-376,-376,-376,1.2658,1.2658,1.2658,1.2658,11.96517,3
2026-03-20 02:05:00-04:00,2026-03-20 06:05:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,0.0,0
2026-03-20 02:10:00-04:00,2026-03-20 06:10:00+00:00,Houston Cougars,0.79,0.79,0.79,0.79,-376,-376,-376,-376,1.2658,1.2658,1.2658,1.2658,46.86356,2
2026-03-20 02:10:00-04:00,2026-03-20 06:10:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,0.0,0
2026-03-20 02:15:00-04:00,2026-03-20 06:15:00+00:00,Houston Cougars,0.79,0.79,0.79,0.79,-376,-376,-376,-376,1.2658,1.2658,1.2658,1.2658,4.98549,1
2026-03-20 02:15:00-04:00,2026-03-20 06:15:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,0.0,0
2026-03-20 02:20:00-04:00,2026-03-20 06:20:00+00:00,Houston Cougars,0.79,0.79,0.79,0.79,-376,-376,-376,-376,1.2658,1.2658,1.2658,1.2658,35.89549,1
2026-03-20 02:20:00-04:00,2026-03-20 06:20:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,0.0,0
2026-03-20 02:25:00-04:00,2026-03-20 06:25:00+00:00,Houston Cougars,0.7899999947333328,0.7899999947333328,0.7899999947333328,0.7899999947333328,-376,-376,-376,-376,1.2658,1.2658,1.2658,1.2658,37.86444,1
2026-03-20 02:25:00-04:00,2026-03-20 06:25:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,0.0,0
2026-03-20 02:30:00-04:00,2026-03-20 06:30:00+00:00,Houston Cougars,0.7899999947333328,0.7899999947333328,0.7899999947333328,0.7899999947333328,-376,-376,-376,-376,1.2658,1.2658,1.2658,1.2658,0.0,0
2026-03-20 02:30:00-04:00,2026-03-20 06:30:00+00:00,Texas A&M Aggies,0.21,0.21,0.21,0.21,376,376,376,376,4.7619,4.7619,4.7619,4.7619,0.0,0
2026-03-20 02:35:00-04:00,2026-03-20 06:35:00+00:00,Houston Cougars,0.79,0.79,0.79,0.79,-376,-376,-376,-376,1.2658,1.2658,1.2658,1.2658,1.9942,1
