datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-22 15:45:00-04:00,2026-03-22 19:45:00+00:00,Connecticut Huskies,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,782.87078,7
2026-03-22 15:45:00-04:00,2026-03-22 19:45:00+00:00,UCLA Bruins,0.36,0.36,0.36,0.36,178,178,178,178,2.7778,2.7778,2.7778,2.7778,15.088919999999998,3
2026-03-22 15:50:00-04:00,2026-03-22 19:50:00+00:00,Connecticut Huskies,0.65,0.65,0.6499999995357143,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,3028.019814,42
2026-03-22 15:50:00-04:00,2026-03-22 19:50:00+00:00,UCLA Bruins,0.36,0.36,0.35,0.36,178,178,186,178,2.7778,2.7778,2.8571,2.7778,214.69498,23
2026-03-22 15:55:00-04:00,2026-03-22 19:55:00+00:00,Connecticut Huskies,0.65,0.65,0.6499999934999994,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,746.949004,14
2026-03-22 15:55:00-04:00,2026-03-22 19:55:00+00:00,UCLA Bruins,0.36,0.36,0.3599999317894507,0.36,178,178,178,178,2.7778,2.7778,2.7778,2.7778,45.493626,9
2026-03-22 16:00:00-04:00,2026-03-22 20:00:00+00:00,Connecticut Huskies,0.65,0.65,0.64,0.65,-186,-186,-178,-186,1.5385,1.5385,1.5625,1.5385,5689.411352,28
2026-03-22 16:00:00-04:00,2026-03-22 20:00:00+00:00,UCLA Bruins,0.36,0.36,0.35,0.3599998924137634,178,178,186,178,2.7778,2.7778,2.8571,2.7778,550052.4870099999,21
2026-03-22 16:05:00-04:00,2026-03-22 20:05:00+00:00,Connecticut Huskies,0.65,0.65,0.649999968137246,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,3271.6190669999996,21
2026-03-22 16:05:00-04:00,2026-03-22 20:05:00+00:00,UCLA Bruins,0.36,0.36,0.35,0.36,178,178,186,178,2.7778,2.7778,2.8571,2.7778,155111.519217,22
2026-03-22 16:10:00-04:00,2026-03-22 20:10:00+00:00,Connecticut Huskies,0.65,0.65,0.64,0.65,-186,-186,-178,-186,1.5385,1.5385,1.5625,1.5385,5524.907235000001,24
2026-03-22 16:10:00-04:00,2026-03-22 20:10:00+00:00,UCLA Bruins,0.36,0.36,0.3599999499130287,0.36,178,178,178,178,2.7778,2.7778,2.7778,2.7778,268.883735,15
2026-03-22 16:15:00-04:00,2026-03-22 20:15:00+00:00,Connecticut Huskies,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,578.68701,23
2026-03-22 16:15:00-04:00,2026-03-22 20:15:00+00:00,UCLA Bruins,0.36,0.36,0.3599999317894507,0.36,178,178,178,178,2.7778,2.7778,2.7778,2.7778,60.582545999999994,12
2026-03-22 16:20:00-04:00,2026-03-22 20:20:00+00:00,Connecticut Huskies,0.65,0.65,0.64,0.65,-186,-186,-178,-186,1.5385,1.5385,1.5625,1.5385,4460.525286,36
2026-03-22 16:20:00-04:00,2026-03-22 20:20:00+00:00,UCLA Bruins,0.36,0.36,0.36,0.36,178,178,178,178,2.7778,2.7778,2.7778,2.7778,110.65208,22
2026-03-22 16:25:00-04:00,2026-03-22 20:25:00+00:00,Connecticut Huskies,0.65,0.65,0.6499999954798326,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,4575.871147,23
2026-03-22 16:25:00-04:00,2026-03-22 20:25:00+00:00,UCLA Bruins,0.36,0.36,0.35,0.36,178,178,186,178,2.7778,2.7778,2.8571,2.7778,101.38423999999999,17
2026-03-22 16:30:00-04:00,2026-03-22 20:30:00+00:00,Connecticut Huskies,0.65,0.65,0.649999885294003,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,2259.928393,35
2026-03-22 16:30:00-04:00,2026-03-22 20:30:00+00:00,UCLA Bruins,0.3599999924210524,0.36,0.35,0.36,178,178,186,178,2.7778,2.7778,2.8571,2.7778,149561.525364,20
2026-03-22 16:35:00-04:00,2026-03-22 20:35:00+00:00,Connecticut Huskies,0.62,0.64,0.6,0.6,-163,-178,-150,-150,1.6129,1.5625,1.6667,1.6667,57011.809575,37
2026-03-22 16:35:00-04:00,2026-03-22 20:35:00+00:00,UCLA Bruins,0.36,0.41,0.36,0.40999995826346897,178,144,178,144,2.7778,2.439,2.7778,2.439,21006.132691,16
2026-03-22 16:40:00-04:00,2026-03-22 20:40:00+00:00,Connecticut Huskies,0.64,0.65,0.609999859699892,0.64,-178,-186,-156,-178,1.5625,1.5385,1.6393,1.5625,15246.758555,35
2026-03-22 16:40:00-04:00,2026-03-22 20:40:00+00:00,UCLA Bruins,0.38,0.4,0.36,0.36999989969876196,163,150,178,170,2.6316,2.5,2.7778,2.7027,77935.989113,11
2026-03-22 16:45:00-04:00,2026-03-22 20:45:00+00:00,Connecticut Huskies,0.64,0.64,0.6199999651249911,0.64,-178,-178,-163,-178,1.5625,1.5625,1.6129,1.5625,1719.8163729999999,7
2026-03-22 16:45:00-04:00,2026-03-22 20:45:00+00:00,UCLA Bruins,0.38,0.38,0.35439847079799264,0.36,163,163,182,178,2.6316,2.6316,2.8217,2.7778,66253.419481,8
2026-03-22 16:50:00-04:00,2026-03-22 20:50:00+00:00,Connecticut Huskies,0.65,0.65,0.64,0.64,-186,-186,-178,-178,1.5385,1.5385,1.5625,1.5625,39.763172,3
2026-03-22 16:50:00-04:00,2026-03-22 20:50:00+00:00,UCLA Bruins,0.3599999870399992,0.3599999870399992,0.35,0.35,178,178,186,186,2.7778,2.7778,2.8571,2.8571,67.328676,4
2026-03-22 16:55:00-04:00,2026-03-22 20:55:00+00:00,Connecticut Huskies,0.64,0.65,0.64,0.6499999781879129,-178,-186,-178,-186,1.5625,1.5385,1.5625,1.5385,1997.3524270000003,6
2026-03-22 16:55:00-04:00,2026-03-22 20:55:00+00:00,UCLA Bruins,0.3599999870399992,0.3599999870399992,0.35,0.35,178,178,186,186,2.7778,2.7778,2.8571,2.8571,0.0,0
2026-03-22 17:00:00-04:00,2026-03-22 21:00:00+00:00,Connecticut Huskies,0.6499999995320913,0.65,0.6499999945833332,0.6499999970895523,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,700.7221920000001,4
2026-03-22 17:00:00-04:00,2026-03-22 21:00:00+00:00,UCLA Bruins,0.36,0.36,0.36,0.36,178,178,178,178,2.7778,2.7778,2.7778,2.7778,903.84096,2
2026-03-22 17:05:00-04:00,2026-03-22 21:05:00+00:00,Connecticut Huskies,0.6499999999479583,0.6499999999479583,0.6499999761029333,0.6499999761029333,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,5750.00093,2
2026-03-22 17:05:00-04:00,2026-03-22 21:05:00+00:00,UCLA Bruins,0.36,0.36,0.36,0.36,178,178,178,178,2.7778,2.7778,2.7778,2.7778,0.0,0
2026-03-22 17:10:00-04:00,2026-03-22 21:10:00+00:00,Connecticut Huskies,0.64,0.6499999934999994,0.64,0.6499999674999887,-178,-186,-178,-186,1.5625,1.5385,1.5625,1.5385,69.985059,3
2026-03-22 17:10:00-04:00,2026-03-22 21:10:00+00:00,UCLA Bruins,0.36,0.36,0.36,0.36,178,178,178,178,2.7778,2.7778,2.7778,2.7778,0.0,0
2026-03-22 17:15:00-04:00,2026-03-22 21:15:00+00:00,Connecticut Huskies,0.6499999936729393,0.6499999936729393,0.64,0.64,-186,-186,-178,-178,1.5385,1.5385,1.5625,1.5625,52.196612,2
