datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-29 17:20:00-04:00,2026-03-29 21:20:00+00:00,Connecticut Huskies,0.19,0.24,0.17,0.23999999894117646,426,317,488,317,5.2632,4.1667,5.8824,4.1667,45036.191798,87
2026-03-29 17:20:00-04:00,2026-03-29 21:20:00+00:00,Duke Blue Devils,0.8199999934399984,0.82,0.76,0.76999924524677,-456,-456,-317,-335,1.2195,1.2195,1.3158,1.2987,7741.449678,31
2026-03-29 17:25:00-04:00,2026-03-29 21:25:00+00:00,Connecticut Huskies,0.23999999639999997,0.24,0.16,0.21,317,317,525,376,4.1667,4.1667,6.25,4.7619,71222.772034,79
2026-03-29 17:25:00-04:00,2026-03-29 21:25:00+00:00,Duke Blue Devils,0.77,0.84,0.76,0.8,-335,-525,-317,-400,1.2987,1.1905,1.3158,1.25,51652.738843,65
2026-03-29 17:30:00-04:00,2026-03-29 21:30:00+00:00,Connecticut Huskies,0.21,0.25,0.14,0.15,376,300,614,567,4.7619,4.0,7.1429,6.6667,26512.567501999998,78
2026-03-29 17:30:00-04:00,2026-03-29 21:30:00+00:00,Duke Blue Devils,0.8,0.86,0.75,0.8599999827999946,-400,-614,-300,-614,1.25,1.1628,1.3333,1.1628,21808.28168,52
2026-03-29 17:35:00-04:00,2026-03-29 21:35:00+00:00,Connecticut Huskies,0.14999999520051188,0.15,0.0763681592039801,0.0899999189999919,567,567,1209,1011,6.6667,6.6667,13.0945,11.1111,140063.889933,67
2026-03-29 17:35:00-04:00,2026-03-29 21:35:00+00:00,Duke Blue Devils,0.859999999963454,0.93,0.8599999922171933,0.9299999999225,-614,-1329,-614,-1329,1.1628,1.0753,1.1628,1.0753,108590.51898000001,181
2026-03-29 17:40:00-04:00,2026-03-29 21:40:00+00:00,Connecticut Huskies,0.08,0.08,0.03,0.04,1150,1150,3233,2400,12.5,12.5,33.3333,25.0,14884.123662000002,44
2026-03-29 17:40:00-04:00,2026-03-29 21:40:00+00:00,Duke Blue Devils,0.93,0.97,0.92,0.97,-1329,-3233,-1150,-3233,1.0753,1.0309,1.087,1.0309,35309.552462,79
