datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-04-06 21:05:00-04:00,2026-04-07 01:05:00+00:00,Connecticut Huskies,0.22,0.3,0.20999997839999915,0.28,355,233,376,257,4.5455,3.3333,4.7619,3.5714,176446.35740000004,174
2026-04-06 21:05:00-04:00,2026-04-07 01:05:00+00:00,Michigan Wolverines,0.8,0.8,0.72,0.729999999672311,-400,-400,-257,-270,1.25,1.25,1.3889,1.3699,8503.196781999999,32
2026-04-06 21:10:00-04:00,2026-04-07 01:10:00+00:00,Connecticut Huskies,0.28,0.32,0.25,0.2999999672489047,257,212,300,233,3.5714,3.125,4.0,3.3333,20125.409713,112
2026-04-06 21:10:00-04:00,2026-04-07 01:10:00+00:00,Michigan Wolverines,0.729999987589999,0.75,0.68,0.7,-270,-300,-213,-233,1.3699,1.3333,1.4706,1.4286,17273.43846,71
2026-04-06 21:15:00-04:00,2026-04-07 01:15:00+00:00,Connecticut Huskies,0.3,0.36834847233691165,0.29999995312499267,0.31,233,171,233,223,3.3333,2.7148,3.3333,3.2258,73771.38619399999,97
2026-04-06 21:15:00-04:00,2026-04-07 01:15:00+00:00,Michigan Wolverines,0.7,0.7,0.63,0.69,-233,-233,-170,-223,1.4286,1.4286,1.5873,1.4493,7023.347694,131
2026-04-06 21:20:00-04:00,2026-04-07 01:20:00+00:00,Connecticut Huskies,0.32,0.32,0.28,0.28999999849709146,212,212,257,245,3.125,3.125,3.5714,3.4483,5752.169326,29
2026-04-06 21:20:00-04:00,2026-04-07 01:20:00+00:00,Michigan Wolverines,0.6899999868899976,0.72,0.68,0.72,-223,-257,-213,-257,1.4493,1.3889,1.4706,1.3889,8196.489347,35
2026-04-06 21:25:00-04:00,2026-04-07 01:25:00+00:00,Connecticut Huskies,0.29,0.34,0.28999982941169783,0.3299999590799969,245,194,245,203,3.4483,2.9412,3.4483,3.0303,16666.359779,72
2026-04-06 21:25:00-04:00,2026-04-07 01:25:00+00:00,Michigan Wolverines,0.7099999431998909,0.72,0.6699999973199998,0.68,-245,-257,-203,-213,1.4085,1.3889,1.4925,1.4706,8086.9585400000005,49
2026-04-06 21:30:00-04:00,2026-04-07 01:30:00+00:00,Connecticut Huskies,0.33,0.35999983871994323,0.32,0.33,203,178,212,203,3.0303,2.7778,3.125,3.0303,45877.619474,48
2026-04-06 21:30:00-04:00,2026-04-07 01:30:00+00:00,Michigan Wolverines,0.67,0.68,0.6521739096408317,0.6799999727999957,-203,-213,-187,-212,1.4925,1.4706,1.5333,1.4706,17863.645727,104
2026-04-06 21:35:00-04:00,2026-04-07 01:35:00+00:00,Connecticut Huskies,0.33,0.33,0.23,0.24,203,203,335,317,3.0303,3.0303,4.3478,4.1667,22543.326162999998,59
2026-04-06 21:35:00-04:00,2026-04-07 01:35:00+00:00,Michigan Wolverines,0.6799999945599995,0.77,0.67,0.77,-212,-335,-203,-335,1.4706,1.2987,1.4925,1.2987,97408.666922,163
2026-04-06 21:40:00-04:00,2026-04-07 01:40:00+00:00,Connecticut Huskies,0.24,0.29,0.22,0.25,317,245,355,300,4.1667,3.4483,4.5455,4.0,126613.082724,71
2026-04-06 21:40:00-04:00,2026-04-07 01:40:00+00:00,Michigan Wolverines,0.7699999823999979,0.78,0.7299996898443699,0.75,-335,-355,-270,-300,1.2987,1.2821,1.3699,1.3333,7051.93893,70
2026-04-06 21:45:00-04:00,2026-04-07 01:45:00+00:00,Connecticut Huskies,0.26,0.26,0.21,0.22999982749995687,285,285,376,335,3.8462,3.8462,4.7619,4.3478,26917.207775,51
2026-04-06 21:45:00-04:00,2026-04-07 01:45:00+00:00,Michigan Wolverines,0.74,0.79,0.74,0.78,-285,-376,-285,-355,1.3514,1.2658,1.3514,1.2821,87258.44225299999,77
2026-04-06 21:50:00-04:00,2026-04-07 01:50:00+00:00,Connecticut Huskies,0.229999998597,0.23,0.22,0.23,335,335,355,335,4.3478,4.3478,4.5455,4.3478,6819.858918,19
2026-04-06 21:50:00-04:00,2026-04-07 01:50:00+00:00,Michigan Wolverines,0.7799999567640409,0.78,0.77,0.78,-355,-355,-335,-355,1.2821,1.2821,1.2987,1.2821,11567.611542,15
2026-04-06 21:55:00-04:00,2026-04-07 01:55:00+00:00,Connecticut Huskies,0.22999999753272726,0.22999999753272726,0.21,0.21,335,335,376,376,4.3478,4.3478,4.7619,4.7619,39664.077764,22
