datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-22 06:55:00-04:00,2026-03-22 10:55:00+00:00,Iowa State Cyclones,0.67,0.67,0.67,0.67,-203,-203,-203,-203,1.4925,1.4925,1.4925,1.4925,293.85859,5
2026-03-22 07:00:00-04:00,2026-03-22 11:00:00+00:00,Iowa State Cyclones,0.67,0.67,0.66,0.66,-203,-203,-194,-194,1.4925,1.4925,1.5152,1.5152,205.64457,6
2026-03-22 07:05:00-04:00,2026-03-22 11:05:00+00:00,Iowa State Cyclones,0.67,0.67,0.6699999195999292,0.67,-203,-203,-203,-203,1.4925,1.4925,1.4925,1.4925,665.906036,11
2026-03-22 07:10:00-04:00,2026-03-22 11:10:00+00:00,Iowa State Cyclones,0.6699999915133323,0.67,0.6699999915133323,0.67,-203,-203,-203,-203,1.4925,1.4925,1.4925,1.4925,118.926147,5
2026-03-22 07:10:00-04:00,2026-03-22 11:10:00+00:00,Kentucky Wildcats,0.33999998602739623,0.33999998602739623,0.33999998602739623,0.33999998602739623,194,194,194,194,2.9412,2.9412,2.9412,2.9412,25.663534,1
2026-03-22 07:15:00-04:00,2026-03-22 11:15:00+00:00,Iowa State Cyclones,0.67,0.67,0.67,0.67,-203,-203,-203,-203,1.4925,1.4925,1.4925,1.4925,785.94722,8
2026-03-22 07:15:00-04:00,2026-03-22 11:15:00+00:00,Kentucky Wildcats,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,12.749740000000001,1
2026-03-22 07:20:00-04:00,2026-03-22 11:20:00+00:00,Iowa State Cyclones,0.67,0.67,0.6699999839199988,0.67,-203,-203,-203,-203,1.4925,1.4925,1.4925,1.4925,3918.704112,14
2026-03-22 07:20:00-04:00,2026-03-22 11:20:00+00:00,Kentucky Wildcats,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-22 07:25:00-04:00,2026-03-22 11:25:00+00:00,Iowa State Cyclones,0.67,0.67,0.67,0.67,-203,-203,-203,-203,1.4925,1.4925,1.4925,1.4925,708.85666,10
