datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-26 05:25:00-04:00,2026-03-26 09:25:00+00:00,Louisville Cardinals,0.41,0.41,0.41,0.41,144,144,144,144,2.439,2.439,2.439,2.439,5.0,1
2026-03-26 05:30:00-04:00,2026-03-26 09:30:00+00:00,Louisville Cardinals,0.41,0.41,0.41,0.41,144,144,144,144,2.439,2.439,2.439,2.439,0.0,0
2026-03-26 05:35:00-04:00,2026-03-26 09:35:00+00:00,Louisville Cardinals,0.41,0.41,0.41,0.41,144,144,144,144,2.439,2.439,2.439,2.439,0.0,0
2026-03-26 05:40:00-04:00,2026-03-26 09:40:00+00:00,Louisville Cardinals,0.41,0.41,0.41,0.41,144,144,144,144,2.439,2.439,2.439,2.439,0.0,0
2026-03-26 05:45:00-04:00,2026-03-26 09:45:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,15.15,1
2026-03-26 05:50:00-04:00,2026-03-26 09:50:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 05:55:00-04:00,2026-03-26 09:55:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 06:00:00-04:00,2026-03-26 10:00:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 06:05:00-04:00,2026-03-26 10:05:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 06:10:00-04:00,2026-03-26 10:10:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 06:15:00-04:00,2026-03-26 10:15:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 06:20:00-04:00,2026-03-26 10:20:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 06:25:00-04:00,2026-03-26 10:25:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 06:30:00-04:00,2026-03-26 10:30:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 06:35:00-04:00,2026-03-26 10:35:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 06:40:00-04:00,2026-03-26 10:40:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,60.6,1
2026-03-26 06:45:00-04:00,2026-03-26 10:45:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 06:50:00-04:00,2026-03-26 10:50:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 06:55:00-04:00,2026-03-26 10:55:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 07:00:00-04:00,2026-03-26 11:00:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 07:05:00-04:00,2026-03-26 11:05:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 07:10:00-04:00,2026-03-26 11:10:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 07:15:00-04:00,2026-03-26 11:15:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 07:20:00-04:00,2026-03-26 11:20:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 07:25:00-04:00,2026-03-26 11:25:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 07:30:00-04:00,2026-03-26 11:30:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 07:35:00-04:00,2026-03-26 11:35:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 07:40:00-04:00,2026-03-26 11:40:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 07:45:00-04:00,2026-03-26 11:45:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 07:50:00-04:00,2026-03-26 11:50:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 07:55:00-04:00,2026-03-26 11:55:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 08:00:00-04:00,2026-03-26 12:00:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
2026-03-26 08:05:00-04:00,2026-03-26 12:05:00+00:00,Louisville Cardinals,0.34,0.34,0.34,0.34,194,194,194,194,2.9412,2.9412,2.9412,2.9412,0.0,0
