datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-21 12:55:00-04:00,2026-03-21 16:55:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,147.0,1
2026-03-21 13:00:00-04:00,2026-03-21 17:00:00+00:00,Maryland Terrapins,0.429999997606679,0.429999997606679,0.429999997606679,0.429999997606679,133,133,133,133,2.3256,2.3256,2.3256,2.3256,100.279068,1
2026-03-21 13:05:00-04:00,2026-03-21 17:05:00+00:00,Maryland Terrapins,0.429999997606679,0.429999997606679,0.429999997606679,0.429999997606679,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 13:10:00-04:00,2026-03-21 17:10:00+00:00,Maryland Terrapins,0.429999997606679,0.429999997606679,0.429999997606679,0.429999997606679,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 13:15:00-04:00,2026-03-21 17:15:00+00:00,Maryland Terrapins,0.429999997606679,0.429999997606679,0.429999997606679,0.429999997606679,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 13:20:00-04:00,2026-03-21 17:20:00+00:00,Maryland Terrapins,0.429999997606679,0.429999997606679,0.429999997606679,0.429999997606679,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 13:25:00-04:00,2026-03-21 17:25:00+00:00,Maryland Terrapins,0.429999997606679,0.429999997606679,0.429999997606679,0.429999997606679,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 13:30:00-04:00,2026-03-21 17:30:00+00:00,Maryland Terrapins,0.429999997606679,0.429999997606679,0.429999997606679,0.429999997606679,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 13:35:00-04:00,2026-03-21 17:35:00+00:00,Maryland Terrapins,0.429999997606679,0.429999997606679,0.429999997606679,0.429999997606679,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 13:40:00-04:00,2026-03-21 17:40:00+00:00,Maryland Terrapins,0.429999997606679,0.429999997606679,0.429999997606679,0.429999997606679,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 13:45:00-04:00,2026-03-21 17:45:00+00:00,Maryland Terrapins,0.429999997606679,0.429999997606679,0.429999997606679,0.429999997606679,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 13:50:00-04:00,2026-03-21 17:50:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,55.69,2
2026-03-21 13:55:00-04:00,2026-03-21 17:55:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 14:00:00-04:00,2026-03-21 18:00:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 14:05:00-04:00,2026-03-21 18:05:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 14:10:00-04:00,2026-03-21 18:10:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 14:15:00-04:00,2026-03-21 18:15:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 14:20:00-04:00,2026-03-21 18:20:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 14:25:00-04:00,2026-03-21 18:25:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 14:30:00-04:00,2026-03-21 18:30:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 14:35:00-04:00,2026-03-21 18:35:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 14:40:00-04:00,2026-03-21 18:40:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 14:45:00-04:00,2026-03-21 18:45:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 14:50:00-04:00,2026-03-21 18:50:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 14:55:00-04:00,2026-03-21 18:55:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 15:00:00-04:00,2026-03-21 19:00:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 15:05:00-04:00,2026-03-21 19:05:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 15:10:00-04:00,2026-03-21 19:10:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 15:15:00-04:00,2026-03-21 19:15:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 15:20:00-04:00,2026-03-21 19:20:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 15:25:00-04:00,2026-03-21 19:25:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 15:30:00-04:00,2026-03-21 19:30:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 15:35:00-04:00,2026-03-21 19:35:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 15:40:00-04:00,2026-03-21 19:40:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 15:45:00-04:00,2026-03-21 19:45:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 15:50:00-04:00,2026-03-21 19:50:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 15:55:00-04:00,2026-03-21 19:55:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 16:00:00-04:00,2026-03-21 20:00:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
2026-03-21 16:05:00-04:00,2026-03-21 20:05:00+00:00,Maryland Terrapins,0.43,0.43,0.43,0.43,133,133,133,133,2.3256,2.3256,2.3256,2.3256,0.0,0
