datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-21 11:50:00-04:00,2026-03-21 15:50:00+00:00,Michigan State Spartans,0.25,0.25,0.25,0.25,300,300,300,300,4.0,4.0,4.0,4.0,21.4,2
2026-03-21 11:55:00-04:00,2026-03-21 15:55:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,255.42000000000002,3
2026-03-21 12:00:00-04:00,2026-03-21 16:00:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 12:05:00-04:00,2026-03-21 16:05:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 12:10:00-04:00,2026-03-21 16:10:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 12:15:00-04:00,2026-03-21 16:15:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 12:20:00-04:00,2026-03-21 16:20:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 12:25:00-04:00,2026-03-21 16:25:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 12:30:00-04:00,2026-03-21 16:30:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 12:35:00-04:00,2026-03-21 16:35:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 12:40:00-04:00,2026-03-21 16:40:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 12:45:00-04:00,2026-03-21 16:45:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 12:50:00-04:00,2026-03-21 16:50:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 12:55:00-04:00,2026-03-21 16:55:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 13:00:00-04:00,2026-03-21 17:00:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 13:05:00-04:00,2026-03-21 17:05:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 13:10:00-04:00,2026-03-21 17:10:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 13:15:00-04:00,2026-03-21 17:15:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 13:20:00-04:00,2026-03-21 17:20:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 13:25:00-04:00,2026-03-21 17:25:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 13:30:00-04:00,2026-03-21 17:30:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 13:35:00-04:00,2026-03-21 17:35:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 13:40:00-04:00,2026-03-21 17:40:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 13:45:00-04:00,2026-03-21 17:45:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 13:50:00-04:00,2026-03-21 17:50:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 13:55:00-04:00,2026-03-21 17:55:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 14:00:00-04:00,2026-03-21 18:00:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 14:05:00-04:00,2026-03-21 18:05:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 14:10:00-04:00,2026-03-21 18:10:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
2026-03-21 14:15:00-04:00,2026-03-21 18:15:00+00:00,Michigan State Spartans,0.25,0.33,0.25,0.33,300,203,300,203,4.0,3.0303,4.0,3.0303,0.0,0
