datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-24 10:15:00-04:00,2026-03-24 14:15:00+00:00,Connecticut Huskies,0.8918918812856088,0.99,0.8918918812856088,0.99,-825,-9900,-825,-9900,1.1212,1.0101,1.1212,1.0101,256.3131,2
2026-03-24 10:20:00-04:00,2026-03-24 14:20:00+00:00,Connecticut Huskies,0.8918918812856088,0.99,0.8918918812856088,0.99,-825,-9900,-825,-9900,1.1212,1.0101,1.1212,1.0101,0.0,0
2026-03-24 10:25:00-04:00,2026-03-24 14:25:00+00:00,Connecticut Huskies,0.8918918812856088,0.99,0.8918918812856088,0.99,-825,-9900,-825,-9900,1.1212,1.0101,1.1212,1.0101,0.0,0
2026-03-24 10:30:00-04:00,2026-03-24 14:30:00+00:00,Connecticut Huskies,0.8918918812856088,0.99,0.8918918812856088,0.99,-825,-9900,-825,-9900,1.1212,1.0101,1.1212,1.0101,0.0,0
2026-03-24 10:35:00-04:00,2026-03-24 14:35:00+00:00,Connecticut Huskies,0.8918918812856088,0.99,0.8918918812856088,0.99,-825,-9900,-825,-9900,1.1212,1.0101,1.1212,1.0101,0.0,0
2026-03-24 10:40:00-04:00,2026-03-24 14:40:00+00:00,Connecticut Huskies,0.8918918812856088,0.99,0.8918918812856088,0.99,-825,-9900,-825,-9900,1.1212,1.0101,1.1212,1.0101,0.0,0
2026-03-24 10:45:00-04:00,2026-03-24 14:45:00+00:00,Connecticut Huskies,0.8918918812856088,0.99,0.8918918812856088,0.99,-825,-9900,-825,-9900,1.1212,1.0101,1.1212,1.0101,0.0,0
2026-03-24 10:50:00-04:00,2026-03-24 14:50:00+00:00,Connecticut Huskies,0.8918918812856088,0.99,0.8918918812856088,0.99,-825,-9900,-825,-9900,1.1212,1.0101,1.1212,1.0101,0.0,0
2026-03-24 10:55:00-04:00,2026-03-24 14:55:00+00:00,Connecticut Huskies,0.8918918812856088,0.99,0.8918918812856088,0.99,-825,-9900,-825,-9900,1.1212,1.0101,1.1212,1.0101,0.0,0
2026-03-24 11:00:00-04:00,2026-03-24 15:00:00+00:00,Connecticut Huskies,0.8918918812856088,0.99,0.8918918812856088,0.99,-825,-9900,-825,-9900,1.1212,1.0101,1.1212,1.0101,0.0,0
