datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-22 10:10:00-04:00,2026-03-22 14:10:00+00:00,UCLA Bruins,0.88,0.88,0.88,0.88,-733,-733,-733,-733,1.1364,1.1364,1.1364,1.1364,83.0,2
2026-03-22 10:15:00-04:00,2026-03-22 14:15:00+00:00,UCLA Bruins,0.88,0.88,0.88,0.88,-733,-733,-733,-733,1.1364,1.1364,1.1364,1.1364,0.0,0
2026-03-22 10:20:00-04:00,2026-03-22 14:20:00+00:00,UCLA Bruins,0.88,0.88,0.88,0.88,-733,-733,-733,-733,1.1364,1.1364,1.1364,1.1364,0.33,1
2026-03-22 10:25:00-04:00,2026-03-22 14:25:00+00:00,UCLA Bruins,0.5699999965799997,0.5699999965799997,0.5699999965799997,0.5699999965799997,-133,-133,-133,-133,1.7544,1.7544,1.7544,1.7544,17.543858,1
2026-03-22 10:30:00-04:00,2026-03-22 14:30:00+00:00,UCLA Bruins,0.7722197017230561,0.7722197017230561,0.7722197017230561,0.7722197017230561,-339,-339,-339,-339,1.295,1.295,1.295,1.295,2.0719,1
2026-03-22 10:35:00-04:00,2026-03-22 14:35:00+00:00,UCLA Bruins,0.7722197017230561,0.7722197017230561,0.7722197017230561,0.7722197017230561,-339,-339,-339,-339,1.295,1.295,1.295,1.295,0.0,0
2026-03-22 10:40:00-04:00,2026-03-22 14:40:00+00:00,UCLA Bruins,0.7722197017230561,0.7722197017230561,0.7722197017230561,0.7722197017230561,-339,-339,-339,-339,1.295,1.295,1.295,1.295,0.0,0
2026-03-22 10:45:00-04:00,2026-03-22 14:45:00+00:00,UCLA Bruins,0.7722197017230561,0.7722197017230561,0.7722197017230561,0.7722197017230561,-339,-339,-339,-339,1.295,1.295,1.295,1.295,0.0,0
2026-03-22 10:50:00-04:00,2026-03-22 14:50:00+00:00,UCLA Bruins,0.7722197017230561,0.7722197017230561,0.7722197017230561,0.7722197017230561,-339,-339,-339,-339,1.295,1.295,1.295,1.295,0.0,0
2026-03-22 10:55:00-04:00,2026-03-22 14:55:00+00:00,UCLA Bruins,0.7722197017230561,0.7722197017230561,0.7722197017230561,0.7722197017230561,-339,-339,-339,-339,1.295,1.295,1.295,1.295,0.0,0
2026-03-22 11:00:00-04:00,2026-03-22 15:00:00+00:00,UCLA Bruins,0.7722197017230561,0.7722197017230561,0.7722197017230561,0.7722197017230561,-339,-339,-339,-339,1.295,1.295,1.295,1.295,0.0,0
2026-03-22 11:05:00-04:00,2026-03-22 15:05:00+00:00,UCLA Bruins,0.7722197017230561,0.7722197017230561,0.7722197017230561,0.7722197017230561,-339,-339,-339,-339,1.295,1.295,1.295,1.295,0.0,0
2026-03-22 11:10:00-04:00,2026-03-22 15:10:00+00:00,UCLA Bruins,0.7722197017230561,0.7722197017230561,0.7722197017230561,0.7722197017230561,-339,-339,-339,-339,1.295,1.295,1.295,1.295,0.0,0
2026-03-22 11:15:00-04:00,2026-03-22 15:15:00+00:00,UCLA Bruins,0.7722197017230561,0.7722197017230561,0.7722197017230561,0.7722197017230561,-339,-339,-339,-339,1.295,1.295,1.295,1.295,0.0,0
2026-03-22 11:20:00-04:00,2026-03-22 15:20:00+00:00,UCLA Bruins,0.7722197017230561,0.7722197017230561,0.7722197017230561,0.7722197017230561,-339,-339,-339,-339,1.295,1.295,1.295,1.295,0.0,0
2026-03-22 11:25:00-04:00,2026-03-22 15:25:00+00:00,UCLA Bruins,0.7722197017230561,0.7722197017230561,0.7722197017230561,0.7722197017230561,-339,-339,-339,-339,1.295,1.295,1.295,1.295,0.0,0
2026-03-22 11:30:00-04:00,2026-03-22 15:30:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,22.78808,4
2026-03-22 11:35:00-04:00,2026-03-22 15:35:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 11:40:00-04:00,2026-03-22 15:40:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 11:45:00-04:00,2026-03-22 15:45:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 11:50:00-04:00,2026-03-22 15:50:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 11:55:00-04:00,2026-03-22 15:55:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 12:00:00-04:00,2026-03-22 16:00:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 12:05:00-04:00,2026-03-22 16:05:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 12:10:00-04:00,2026-03-22 16:10:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 12:15:00-04:00,2026-03-22 16:15:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 12:20:00-04:00,2026-03-22 16:20:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 12:25:00-04:00,2026-03-22 16:25:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 12:30:00-04:00,2026-03-22 16:30:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 12:35:00-04:00,2026-03-22 16:35:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 12:40:00-04:00,2026-03-22 16:40:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 12:45:00-04:00,2026-03-22 16:45:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
2026-03-22 12:50:00-04:00,2026-03-22 16:50:00+00:00,UCLA Bruins,0.95,0.96,0.95,0.96,-1900,-2400,-1900,-2400,1.0526,1.0417,1.0526,1.0417,0.0,0
