datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-04-04 14:40:00-04:00,2026-04-04 18:40:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,98.95,1
2026-04-04 14:45:00-04:00,2026-04-04 18:45:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 14:50:00-04:00,2026-04-04 18:50:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 14:55:00-04:00,2026-04-04 18:55:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 15:00:00-04:00,2026-04-04 19:00:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 15:05:00-04:00,2026-04-04 19:05:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 15:10:00-04:00,2026-04-04 19:10:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 15:15:00-04:00,2026-04-04 19:15:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 15:20:00-04:00,2026-04-04 19:20:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 15:25:00-04:00,2026-04-04 19:25:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 15:30:00-04:00,2026-04-04 19:30:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 15:35:00-04:00,2026-04-04 19:35:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 15:40:00-04:00,2026-04-04 19:40:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 15:45:00-04:00,2026-04-04 19:45:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 15:50:00-04:00,2026-04-04 19:50:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 15:55:00-04:00,2026-04-04 19:55:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 16:00:00-04:00,2026-04-04 20:00:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 16:05:00-04:00,2026-04-04 20:05:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 16:10:00-04:00,2026-04-04 20:10:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 16:15:00-04:00,2026-04-04 20:15:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 16:20:00-04:00,2026-04-04 20:20:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 16:25:00-04:00,2026-04-04 20:25:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 16:30:00-04:00,2026-04-04 20:30:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 16:35:00-04:00,2026-04-04 20:35:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 16:40:00-04:00,2026-04-04 20:40:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 16:45:00-04:00,2026-04-04 20:45:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 16:50:00-04:00,2026-04-04 20:50:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 16:55:00-04:00,2026-04-04 20:55:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
2026-04-04 17:00:00-04:00,2026-04-04 21:00:00+00:00,South Carolina Gamecocks,0.65,0.65,0.65,0.65,-186,-186,-186,-186,1.5385,1.5385,1.5385,1.5385,0.0,0
