Team 1,Team 2,Round,Mens/Womans,URL Slug
VCU Rams,North Carolina Tar Heels,First,Mens,cbb-vcu-ncar-2026-03-19
Duke,Siena,First,Mens,cbb-siena-duke-2026-03-19
Ohio State,TCU,First,Mens,cbb-tcu-ohiost-2026-03-19
St. John's,Northern Iowa,First,Mens,cbb-niowa-stjohn-2026-03-20
Kansas,Cal Baptist,First,Mens,cbb-cabap-kan-2026-03-20
Louisville,South Florida,First,Mens,cbb-sfl-lou-2026-03-19
Michigan State,North Dakota State,First,Mens,cbb-ndkst-mst-2026-03-19
UCLA,UCF,First,Mens,cbb-ucf-ucla-2026-03-20
UConn,Furman,First,Mens,cbb-furman-uconn-2026-03-20
Florida,Prairie View A&M,First,Mens,cbb-pvam-fl-2026-03-20
Clemson,Iowa,First,Mens,cbb-iowa-clmsn-2026-03-20
Vanderbilt,McNeese,First,Mens,cbb-mcnst-vand-2026-03-19
Nebraska,Troy,First,Mens,cbb-troy-nebr-2026-03-19
Illinois,Penn,First,Mens,cbb-penn-ill-2026-03-19
Saint Mary's,Texas A&M,First,Mens,cbb-txam-stmry-2026-03-19
Houston,Idaho,First,Mens,cbb-idaho-hou-2026-03-19
Arizona,Long Island,First,Mens,cbb-liub-arz-2026-03-20
Villanova,Utah State,First,Mens,cbb-utahst-vill-2026-03-20
Wisconsin,High Point,First,Mens,cbb-hpnt-wisc-2026-03-19
Arkansas,Hawaii,First,Mens,cbb-hawaii-ark-2026-03-19
BYU,Texas,First,Mens,cbb-tx-byu-2026-03-19
Gonzaga,Kennesaw State,First,Mens,cbb-kenest-gnzg-2026-03-19
Miami (FL),Missouri,First,Mens,cbb-missr-mia-2026-03-20
Purdue,Queens (N.C.),First,Mens,cbb-queen-pur-2026-03-20
Michigan,Howard,First,Mens,cbb-howrd-mich-2026-03-19
Georgia,Saint Louis,First,Mens,cbb-stlou-ga-2026-03-19
Texas Tech,Akron,First,Mens,cbb-akron-txtech-2026-03-20
Alabama,Hofstra,First,Mens,cbb-hofst-ala-2026-03-20
Tennessee,Miami (Ohio),First,Mens,cbb-miaoh-tenn-2026-03-20
Virginia,Wright State,First,Mens,cbb-wrght-vir-2026-03-20
Kentucky,Santa Clara,First,Mens,cbb-sanclr-uk-2026-03-20
Iowa State,Tennessee State,First,Mens,cbb-tenst-iowast-2026-03-20
Duke,TCU,Second,Mens,cbb-tcu-duke-2026-03-21
St John's,Kansas,Second,Mens,cbb-stjohn-kan-2026-03-22
Louisville,Michigan State,Second,Mens,cbb-lou-mst-2026-03-21
UCLA,UConn,Second,Mens,cbb-ucla-uconn-2026-03-22
Florida,Iowa,Second,Mens,cbb-iowa-fl-2026-03-22
Vanderbilt,Nebraska,Second,Mens,cbb-vand-nebr-2026-03-21
VCU Rams,Illinois,Second,Mens,cbb-vcu-ill-2026-03-21
Texas A&M,Houston,Second,Mens,cbb-txam-hou-2026-03-21
Arizona,Utah State,Second,Mens,cbb-utahst-arz-2026-03-22
High Point,Arkansas,Second,Mens,cbb-hpnt-ark-2026-03-21
Texas,Gonzaga,Second,Mens,cbb-tx-gnzg-2026-03-21
Miami (FL),Purdue,Second,Mens,cbb-mia-pur-2026-03-22
